Sample,Sp_fin,Collection_date,Lat,Long,Extraction,Re_extract,SPID_PCR_1,Band_1,SPID_PCR_2,Band_2,SPID_PCR_3,Band_3,Clean_1,Plate_used1,Well_source1,Sequence_1,Well_1,Sp_call1,Seq_Comp,Plate_used2,Well_source2,Sequence_2,Well_2,Sp_call2
F16-228,Cy,,,,20161104,,20161107,Yes,20170127,Yes,,,,20161107B,11C,20170120,E11,Cy,Yes,,,,,
F16-229b,Mixed,,,,20170205,,2170205,Yes,,,,,,,,,,,No,20170205,F5,20170207,C10,Mixed
F16-230,Gf,,,,20161104,,20161107,No,20161110,Yes,,,,20161110B,F5,20170130,E8,Gf,Yes,,,,,
F16-231,Gf,,,,20161104,,20161107,Yes,20161110,Yes,20170127,Yes,,20161107B,11F,20170120,F10,Gf,Yes,20170127C,E11,20170130,F8,Gf
F16-232,Gf,,,,20161104,,20161107,No,20161110,No,20170127,Yes,,,,,,,No,20170127B,D3,20170207,E4,Gf
F16-233,Gf,,,,20161104,,20161226,No,20170127,Yes,,,,20170127B,E3,20170130,G8,Gf,Yes,,,,,
F16-234,Gf,,,,20161104,,20161226,No,20170127,Yes,,,,20170127B,F3,20170130,H8,Gf,Yes,,,,,
F16-235,Gf,,,,20161104,,20161226,Yes,,,,,,20161221A,1C,20170120,F11,Gf,Yes,,,,,
F16-236,Gf,,,,20161118,,20161226,Yes,,,,,,20161221A,1D?,20170120,F12,Gf,Yes,,,,,
F16-237b,Gf,,,,,,20161226,Yes,20170127,Yes,,,,,,,,,No,20170127B,G3,20170207,F4,Gf
F16-238b,Cy,,,,,,20161226,Yes,20170127,Yes,,,,,,,,,No,20170127C,B5,20170207,H4,Cy
F16-239b,,,,,,,20161226,No,20170127,No,20170202,No,,,,,,,No,,,,,
F16-240b,Miss-Wolf,,,,20170205,,2170205,Yes,,,,,,,,,,,No,20170205,G5,20170207,D10,Wolf
F16-241,Gf,,,,20161118,,20161226,No,20170127,Yes,,,,20170127B,F3,20170130,A9,Gf,Yes,,,,,
F16-242,Cy,,,,20161118,,20161226,No,,,20170202,Yes,,,,,,,No,20170202A,B9,20170207,B7,Cy
F16-243,Gf,,,,20161118,,20161226,Yes,,,,,,20161221A,4C,20170120,G10,Gf,Yes,,,,,
F16-244,Gf,,,,20161118,,20161226,Yes,,,,,,20161221A,3D,20170120,G11,Gf,Yes,,,,,
F16-245,Fail,,,,20161118,,20161226,Yes,,,,,,,,,,Fail,No,20161226A,A3,20170207,A1,Fail
F16-246,Cy,,,,20161118,,20161226,Yes,,,,,,20161221A,3F,20170120,G12,Cy,Yes,,,,,
F16-247,Gf,,,,20161118,,20161226,Yes,,,,,,20161221A,3G,20170120,H10,Gf,Yes,,,,,
F16-248,Gf,,,,20161118,,20161226,Yes,20170127,Yes,,,,20161221A,3H,20170120_Fail,H11,Fail,Yes,20170127B,C5,20170130,B9,Gf
F16-249,Gf,,,,20161118,,20161226,No,20170127,No,20170202,Yes,,,,,,,No,20170202A,C9,20170207,C7,Gf
F16-250,Cy,,,,20161118,,20161226,Yes,,,,,,,,,,,No,20161226A,B5,20170207,B5,Cy
F16-251,Miss-Bc,,,,20161118,,20161226,Yes,,,,,,,,,,Bc,No,20161226A,C5,20170207,C1,Bc
F16-252b,Gf,,,,20170205,,2170205,Yes,,,,,,,,,,,No,20170205,H5,20170207,E10,Gf
F16-253,Cy,,,,20161118,,20161226,No,20170127,Yes,,,,20170127B,F5,20170130,C9,Cy,Yes,,,,,
F16-254b,Cy,,,,20170205,,2170205,Yes,,,,,,,,,,,No,20170205,A7,20170207,F10,Cy
F16-255,Gf,,,,20161118,,20161226,Yes,,,,,,,,,,Gf,No,20161226A,G5,20170207,D1,Gf
F16-256,Fail,,,,20161118,,20161226,Yes,,,,,,,,,,Fail,No,20161226A,H5,20170207,E1,Fail
F16-257,Cy,,,,20161118,,20161226,No,20170127,Yes,,,,20170127B,H5,20170130,D9,Cy,Yes,,,,,
F16-258,Gf,,,,20161118,,20161226,Yes,,,,,,,,,,Gf,No,20161226A,B7,20170207,F1,Gf
F16-259,Gf,,,,20161118,,20161226,Yes,,,,,,,,,,Gf,No,20161226A,C7,20170207,G1,Gf
F16-260,Gf,,,,,,20161226,Yes,,,,,,,,,,Gf,No,20161226A,D7,20170207,H1,Gf
F16-261,Gf,,,,,,20161226,No,20170127,Yes,,,,20170127B,A7,20170130,E9,Gf,Yes,,,,,
F16-262,Gf,,,,,,20161226,Yes,,,,,,,,,,,No,20161226A,F7,20170207,A2,Gf
F16-263,Gf,,,,,,20161226,Yes,,,,,,,,,,,No,20161226A,G7,20170207,B2,Gf
F16-264,Gf,,,,,,20161226,Yes,,,,,,,,,,,No,20161226A,H7,20170207,C2,Gf
F16-265,,,,,,,20161226,No,,,,,,,,,,,No,,,,,
F16-266,Gf,,,,,,20161226,Yes,,,,,,,,,,,No,20161226A,B9,20170207,E2,Gf
F16-267,Cy,,,,,,20161226,Yes,,,,,,,,,,,No,20161226A,C9,20170207,F2,Cy
F16-268,Cy,,,,,,20161226,Yes,,,,,,,,,,,No,20161226A,D9,20170207,G2,Cy
F16-269b,Gf,,,,20170205,,2170205,Yes,,,,,,,,,,,No,20170205,B7,20170207,G10,Gf
F16-270,,,,,,,20161226,No,20170127,No,Needed,,,,,,,,No,,,,,
F16-271,Gf,,,,,,20161226,No,20170127,Yes,20170202,Yes,,20170127B,D4,20170130,F9,Fail,No,20170202A,G9,20170207,D7,Gf
F16-272b,Gf,,,,20170205,,2170205,Yes,,,,,,,,,,,No,20170205,C7,20170207,H10,Gf
F16-273,Gf,,,,,,20161226,Yes,20170202,No,,,,,,,,,No,20161226A,A11,20170207,D2,Gf
F16-274b,,,,,20170205,,2170205,No,,,,,,,,,,,No,,,,,
F16-275b,Gf,,,,20170205,,2170205,Yes,,,,,,,,,,,No,20170205,E7,20170207,A11,Gf
F16-276b,Gf,,,,20170205,,2170205,Yes,,,,,,,,,,,No,20170205,F7,20170207,B11,Gf
F16-277b,Gf,,,,20170205,,2170205,Yes,,,,,,,,,,,No,20170205,G7,20170207,C11,Gf
F16-278b,Gf,,,,20170205,,2170205,Yes,,,,,,,,,,,No,20170205,H7,20170207,D11,Gf
F16-279,Gf,,,,,,20161226,No,20170202,Yes,,,,,,,,,No,20170202A,G11,20170207,F7,Gf
F16-280,Gf,,,,,,20161226,Yes,,,,,,,,,,,No,20161226B,A1,20170207,H2,Gf
F16-281,Gf,,,,,,20161226,Yes,,,,,,,,,,,No,20161226B,B1,20170207,A3,Gf
F16-282,Gf,,,,,,20161226,Yes,,,,,,,,,,,No,20161226B,C1,20170207,B3,Gf
F16-283,Gf,,,,,,20161226,Yes,,,,,,,,,,,No,20161226B,D2,20170207,C3,Gf
F16-284,Gf,,,,20161208,,20161226,Yes,,,,,,,,,,,No,20161226B,E1,20170207,D3,Gf
F16-285b,Gf,,,,20170205,,2170205,Yes,,,,,,,,,,,No,20170205,A9,20170207,E11,Gf
F16-286,Cy,,,,20161208,,20161226,No,20170127,Yes,,,,20170127B,D9,20170130,G9,Cy,Yes,,,,,
F16-287b,,,,,20170205,,2170205,No,,,,,,,,,,,No,,,,,
F16-288,Gf,,,,20161208,,20161226,Yes,,,,,,20161221B,A4,20170130,G10,Gf,Yes,,,,,
F16-289,Cy,,,,20161208,,20161226,Yes,,,,,,20161221B,B3,20170130,H10,Cy,Yes,,,,,
F16-290,Gf,,,,20161208,,20161226,Yes,,,,,,20161221B,C3,20170130,A11,Gf,Yes,,,,,
F16-291,Gf,,,,20161208,,20161226,Yes,,,,,,20161221B,D4,20170130,B11,Gf,Yes,,,,,
F16-292,Gf,,,,20161208,,20161226,Yes,,,,,,20161221B,E3,20170130,C11,Gf,Yes,,,,,
F16-293,Cy,,,,20161208,,20161226,No,20170127,Yes,,,,20170127B,F9,20170130,H9,Cy,Yes,,,,,
F16-294,Gf,,,,20161208,,20161226,No,20170127,Yes,,,,20170127B,G10,20170130,A10,Gf,Yes,,,,,
F16-295,Gf,,,,20161208,,20161226,Yes,,,,,,,,,,,No,20161226B,H3,20170207,E3,Gf
F16-296b,Miss-Bc,,,,20170205,,2170205,Yes,,,,,,,,,,,No,20170205,C9,20170207,F11,Bc
F16-297,Cy,,,,20161208,,20161226,Yes,,,,,,20161221B,B5,20170130,D11,Cy,Yes,,,,,
F16-298,Gf,,,,20161208,,20161226,Yes,,,,,,,,,,,No,20161226B,C5,20170207,F3,Gf
F16-299b,Cy,,,,20170205,,2170205,Yes,,,,,,,,,,,No,20170205,D9,20170207,G11,Cy
F16-300,Cy,,,,20161208,,20161226,Yes,,,,,,20161221B,E5,20170130,E11,Cy,Yes,,,,,
F16-301b,Miss-Bc,,,,20170205,,2170205,Yes,,,,,,,,,,,No,20170205,E9,20170207,H11,Bc
F16-302,Gf,,,,20161208,,20161226,No,20170127,Yes,,,,20170127B,C11,20170130,B10,Gf,Yes,,,,,
F16-303,Cy,,,,20161208,,20161226,Yes,,,,,,20161221B,H5,20170130,F11,Cy,Yes,,,,,
F16-304,Cy,,,,20161208,,20161226,Yes,,,,,,20161221B,A7,20170130,G11,Cy,Yes,,,,,
F16-305,Cy,,,,20161208,,20161226,Yes,,,,,,20161221B,B5,20170130,H11,Cy,Yes,,,,,
F16-306,Gf,,,,20161208,,20161226,Yes,20170202,Yes,,,,20161221B,C8,20170130,A12,Fail,No,20170202B,F1,20170207,G7,Gf
F16-307,Gf,,,,20161208,,20161226,Yes,,,,,,20161221B,D8,20170130,B12,Gf,Yes,,,,,
F16-308,Gf,,,,,,20161226,Yes,,,,,,20161221B,E7,20170130,C12,Gf,Yes,,,,,
F16-309,Cy,,,,,,20161226,Yes,20170202,Yes,,,,20161221B,F8,20170130,D12,Fail,No,20170202B,G1,20170207,H7,Cy
F16-310,Cy,,,,,,20161226,Yes,,,,,,20161221B,G8,20170130,E12,Cy,Yes,,,,,
F16-311,Gf,,,,,,20161226,Yes,,,,,,20161221B,H7,20170130,F12,Gf,Yes,,,,,
F16-312,Gf,,,,,,20161226,Yes,,,,,,20161221B,A10,20170130,G12,Gf,Yes,,,,,
F16-313,Gf,,,,,,20161226,No,20170127,Yes,,,,20170127B,D11,20170130,C10,Gf,Yes,,,,,
F16-314,Cy,,,,,,20161226,No,20170127,Yes,,,,20170127B,E11,20170130,D10,Cy,Yes,,,,,
F16-315,Mixed,,,,,,20161226,Yes,,,,,,,,,,,No,20161226B,D9,20170207,G3,Mixed
F16-316b,Cy,,,,20170205,,2170205,Yes,,,,,,,,,,,No,20170205,F9,20170207,A12,Cy
F16-317b,Gf,,,,20170205,,2170205,Yes,,,,,,,,,,,No,20170205,G9,20170207,B12,Gf
F16-318b,Gf,,,,20170205,,2170205,Yes,,,,,,,,,,,No,20170205,H9,20170207,C12,Gf
F16-319,Miss-Mule Deer,,,,,,20161226,No,20170127,No,20170202,Yes,,,,,,,No,20170202B,C3,20170207,A8,Mule Deer
F16-320,Gf,,,,,,20161226,No,20170127,No,20170202,Yes,,,,,,,No,20170202B,D3,20170207,B8,Gf
F16-321,Miss-Dg,,,,,,20161226,No,20170127,No,20170202,Yes,,,,,,,No,20170202B,E3,20170207,C8,Dg
F16-322b,Gf,,,,20170205,,2170205,Yes,,,,,,,,,,,No,20170205,A11,20170207,D12,Gf
F16-323,Gf,,,,,,20161226,No,20170127,Yes,,,,20170127C,F1,20170130,E10,Gf,Yes,,,,,
F16-324,Mixed,,,,,,20161226,No,20170202,Yes,,,,,,,,,No,20170202B,G3,20170207,D8,Mixed
F16-325b,Gf,,,,20170205,,2170205,Yes,,,,,,,,,,,No,20170205,B11,20170207,E12,Gf
F16-326,Gf,,,,,,20161226,Yes,,,,,,,,,,,No,20161226B,G11,20170207,H3,Gf
F16-327,Fail,,,,,,20161226,Yes,20170127,Yes,20170202,No,,20170127C,H1,20170130,F10,Mixed,No,20161226C,A1,20170207,A4,Fail
m130,,,,,,No,,,,,,,,,,,,,,,,,,
m131,,,,,,No,,,,,,,,,,,,,,,,,,
m52,,,,,,No,,,,,,,,,,,,,,,,,,
m53,,,,,,No,,,,,,,,,,,,,,,,,,
m54,,,,,,No,,,,,,,,,,,,,,,,,,
m55,,,,,,No,,,,,,,,,,,,,,,,,,
m56,,,,,,No,,,,,,,,,,,,,,,,,,
m57,,,,,,No,,,,,,,,,,,,,,,,,,
m58,,,,,,No,,,,,,,,,,,,,,,,,,
m59,,,,,,No,,,,,,,,,,,,,,,,,,
x111,Mixed,,,,20161007,Yes,20161024,No,20161110,Yes,20170127,Yes,,201161110A,8F,20170120,H10,Miss-Hu,,20170127A,B9,20170130,B5,Mixed
x112,Miss-Hu,,,,20161007,Yes,20161024,No,20161110,Yes,20170127,No,,201161110A,7G,20170120,H11,Miss-Hu,,,,,,
x113,Fail,,,,20161007,Yes,20161024,No,20161110,Yes,20170202,No,,201161110A,H7,20170130,C5,Fail,,,,,,
x117,Fail,,,,20161014,Yes,20161024,No,20161110,Yes,20170202,No,,201161110A,D9,20170130,D5,Fail,,,,,,
x118,,,,,20161014,Yes,20161024,No,20161110,No,20170202,No,,,,,,,,,,,,
x119,,,,,20161014,Yes,20161024,No,20161110,No,20170202,No,,,,,,,,,,,,
x12,,,,,20160603,Yes,20160826,No,,,,,,,,,,,,,,,,
x125,,,,,20161014,Yes,20161024,No,20161110,No,20170127,No,,,,,,,,,,,,
x144,,,,,20161025,Yes,20161107,No,20161110,No,20170202,No,,,,,,,,,,,,
x16,Miss-Hu,,,,20160523,Yes,20160826,Yes,20161110,Yes,20170202,No,,201161110A,1G,20170120,E03,Miss-Hu,,201161110A,G1,20170130,E1,Miss-Hu
x162,,,,,20161025,Yes,20161107,No,20161110,No,20170202,No,,,,,,,,,,,,
x181,,,,,20161027,Yes,20161107,No,20161110,Yes,20170127,No,,,,,,,,,,,,
x19,,,,,20160812,Yes,20160826,No,,,,,,,,,,,,,,,,
x191,Fail,,,,20161028,Yes,20161107,Yes,20170127,No,20170202,No,,20161107B,2F,20170120_Fail,C07,Fail,,,,,,
x199,,,,,20161028,Yes,20161107,No,20161110,No,20170127,No,,,,,,,,,,,,
x213,Gf,,,,20161104,Yes,20161107,Yes,20170127,Yes,,,,20161221C,1B,20170120,H09,Gf,Yes,,,,,
x214,,,,,20161104,Yes,20161107,No,20161110,No,,,,,,,,,,,,,,
x215,Fail,,,,20161104,Yes,20161107,Yes,,,,,,20161221C,1C,20170120_Fail,A10,Fail,,,,,,
x216,Gf,,,,20161104,Yes,20161107,Yes,,,,,,20161221C,1D,20170120,A11,Gf,Yes,,,,,
x217,,,,,20161104,Yes,20161107,Yes,,,,,,,,,,,,,,,,
x218,Miss-Hu,,,,20161104,Yes,20161107,Yes,,,,,,20161221C,2A,20170120,B10,Miss-Hu,,,,,,
x229,Miss-Hu,,,,20161104,Yes,20161107,Yes,20161110,No,20170127,No,,20161107B,11D?,20170120,E12,Miss-Hu,,,,,,
x237,Fail,,,,20161118,Yes,20161226,No,,,,,,20161221C,1H,20170120_Fail,A12,Fail,,,,,,
x238,,,,,20161118,Yes,20161226,No,,,,,,,,,,,,,,,,
x239,,,,,20161118,Yes,20161226,No,,,,,,,,,,,,,,,,
x240,,,,,20161118,Yes,20161226,No,20170127,No,20170202,No,,,,,,,,,,,,
x252,,,,,20161118,Yes,20161226,No,,,20170202,No,,,,,,,,,,,,
x254,,,,,20161118,Yes,20161226,No,20170127,No,20170202,No,,,,,,,,,,,,
x269,,,,,,Yes,20161226,No,20170127,No,20170202,No,,,,,,,,,,,,
x272,,,,,,Yes,20161226,No,20170127,No,20170202,No,,,,,,,,,,,,
x274,,,,,,Yes,20161226,No,20170127,No,20170202,No,,,,,,,,,,,,
x275,,,,,,Yes,20161226,No,20170127,No,20170202,No,,,,,,,,,,,,
x276,,,,,,Yes,20161226,No,20170127,No,20170202,No,,,,,,,,,,,,
x277,,,,,,Yes,20161226,No,20170127,No,20170202,No,,,,,,,,,,,,
x278,,,,,,Yes,20161226,No,20170127,No,20170202,No,,,,,,,,,,,,
x285,,,,,20161208,Yes,20161226,No,20170127,No,20170202,No,,,,,,,,,,,,
x287,,,,,20161208,Yes,20161226,No,20170127,No,20170202,No,,,,,,,,,,,,
x29,,,,,20160819,Yes,20160826,No,,,,,,,,,,,,,,,,
x296,,,,,20161208,Yes,20161226,No,20170127,No,20170202,No,,,,,,,,,,,,
x299,,,,,20161208,Yes,20161226,No,20170127,No,20170202,No,,,,,,,,,,,,
x30,Fail,,,,20160819,Yes,20160826,Yes,20161110,No,20170127,No,,20160826,5A,20170120_Fail,A06,Fail,,,,,,
x301,,,,,20161208,Yes,20161226,No,20170127,No,20170202,No,,,,,,,,,,,,
x31,Fail,,,,20160819,Yes,20160826,Yes,20161110,Yes,20170127,Yes,,201161110A,4C,20170120_Fail,B04,Fail,,20170127A,A3,20170130,B2,Fail
x316,,,,,,Yes,20161226,No,20170127,No,20170202,No,,,,,,,,,,,,
x317,,,,,,Yes,20161226,No,20170127,No,20170202,No,,,,,,,,,,,,
x318,,,,,,Yes,20161226,No,20170127,No,20170202,No,,,,,,,,,,,,
x322,,,,,,Yes,20161226,No,20170127,No,20170202,No,,,,,,,,,,,,
x325,,,,,,Yes,20161226,No,20170127,No,20170202,No,,,,,,,,,,,,
x35,Miss-Hu,,,,20160819,Yes,20160826,Yes,20161110,Yes,20170127,Yes,,20160826,5F,20170120_Fail,C05,Fail,,20170127A,D4,20170130,D2,Miss-Hu
x47,Fail,,,,20160819,Yes,20161021,Yes,20170127,No,20170202,No,,20161021_JK,3D,20170120_Fail,G05,Fail,,,,,,
x61,Fail,,,,20160819,Yes,20161021,Yes,20170127,No,20170127,No,,20161021_JK,6B,20170120_Fail,A08,Fail,,,,,,
x69,,,,,20160916,Yes,20161021,No,,,,,,,,,,,,,,,,
x72,,,,,20160927,Yes,20161021,No,,,,,,,,,,,,,,,,
x79,,,,,20160927,Yes,20161021,No,,,,,,,,,,,,,,,,
x80,,,,,20160930,Yes,20161021,No,,,,,,,,,,,,,,,,
x84,Fail,,,,20160930,Yes,20161021,Yes,20170127,No,20170202,No,,20161021_KM,5B,20170120_Fail,G09,Fail,,,,,,
x90,Fail,,,,20161007,Yes,20161024,No,20161110,Yes,20170202,No,,201161110A,G6,20170130,A4,Fail,,,,,,
x91,Fail,,,,20161007,Yes,20161024,No,20161110,Yes,20170127,No,,201161110A,5G,20170120_Fail,A12,Fail,,,,,,
